"DATE OF CONTACT","TIME OF CONTACT","INCIDENT NUMBER","STEP INDICATOR","GEO CODE","ANONYMOUS HOUSE NUMBER","ADDRESS STREET","CROSS STREET","MOTIVATION FOR STOP DESC","RACE DESCRIPTION","SEX DESCRIPTION","AGE AT CONTACT","RESIDENCY CODE","REASON FOR STOP","TYPE OF VIOLATION","CRIME CATEGORY","CRIME CATEGORY DESCRIPTION","CRIME CODE","CRIME DESCRIPTION","CRIME STATUS DESCRIPTION","VEHICLE YEAR","VEHICLE CONSENT SEARCH REQUESTED","VEHICLE CONSENT SEARCH GRANTED","PARAPHRENALIA FOUND VEHICLE CONSENT SEARCH","ALCOHOL FOUND VEHICLE CONSENT SEARCH","WEAPON FOUND VEHICLE CONSENT SEARCH","STOLEN PROPERTY FOUND VEHICLE CONSENT SEARCH","OTHER CONTRABAND FOUND VEHICLE CONSENT SEARCH","DRUG AMOUNT FOUND VEHICLE CONSENT SEARCH","CANINE SNIFF PERFORMED","CANINE ALERTED","CANINE SEARCH CONDUCTED","PARAPHRENALIA FOUND CANINE SEARCH","ALCOHOL FOUND CANINE SEARCH","WEAPON FOUND CANINE SEARCH","STOLEN PROPERTY FOUND CANINE SEARCH","OTHER CONTRABAND FOUND CANINE SEARCH","DRUG AMOUNT FOUND CANINE SEARCH","ANY CONTRABAND FOUND IN VEHICLE CONSENT OR CANINE SEARCH","CONSENT OR DOG SNIFF SEARCH CONDUCTED","MAPPING ADDRESS"
"2015 Jan 01 12:00:00 AM","21:25","UT1500018","NOT STEP","577-08","0","PHILO","BRIARCLIFF",,"BLACK","MALE","25","N","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C28","Traffic Offenses","2461","OPERATE UNINSURED MOTOR VEHICLE","CLEARED BY ADULT ARREST","2000","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","true","true","NO","NO","NO","NO","NO","NOT APPLICABLE",,"true","false","0 PHILO"
"2015 Jan 01 12:00:00 AM","21:25","UT1500018","NOT STEP","577-08","0","PHILO","BRIARCLIFF",,"BLACK","MALE","25","N","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C28","Traffic Offenses","6673","EXPIRED REGISTRATION","CLEARED BY ADULT ARREST","2000","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","true","true","NO","NO","NO","NO","NO","NOT APPLICABLE",,"true","false","0 PHILO"
"2015 Jan 01 12:00:00 AM","21:25","UT1500018","NOT STEP","577-08","0","PHILO","BRIARCLIFF",,"BLACK","MALE","25","N","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C51","Investigate","6700","CANINE SWEEP - IDOT","ADMINISTRATIVELY CLOSED","2000","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","true","true","NO","NO","NO","NO","NO","NOT APPLICABLE",,"true","false","0 PHILO"
"2015 Jan 01 12:00:00 AM","22:27","UW1500001","NOT STEP","606-01","1300","FLORIDA E",,,"BLACK","MALE","28","N","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","6630","DRIVING WITHOUT LIGHTS","TRAFFIC WARNING TICKET","1990","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1300 FLORIDA E"
"2015 Jan 01 12:00:00 AM","23:01","UW1600006","NOT STEP","605-04","1000","PHILO S BLK",,"TRAFFIC ISSUE","WHITE","FEMALE","46","Y","MOVING VIOLATION","SPEED","C28","Traffic Offenses","6601","SPEEDING (RADAR)","TRAFFIC WARNING TICKET","2011","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1000 PHILO S BLK"
"2016 Jan 01 12:00:00 AM","15:34","UT1600009","NOT STEP","546-08","0","GOODWIN","UNIVERSITY","TRAFFIC ISSUE","WHITE","FEMALE","37","Y","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6606","TRAFFIC SIGNAL VIOLATION","CLEARED BY ADULT ARREST","2005","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 GOODWIN"
"2016 Jan 01 12:00:00 AM","19:53","UW1600012","NOT STEP","576-05","0","VINE","OREGON","COMMUNITY CARETAKING","WHITE","MALE","18","Y","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","6630","DRIVING WITHOUT LIGHTS","TRAFFIC WARNING TICKET","2009","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 VINE"
"2020 Jan 06 12:00:00 AM","21:15","UT2000069","NOT STEP","520-05","1","O'BRIAN","VANCE","TRAFFIC ISSUE","HISPANIC","MALE",,"Y","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6605","TRAFFIC SIGN VIOLATION","TRAFFIC WARNING TICKET","2019","false","false","NO","NO","NO","NO","NO","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1 O'BRIAN"
"2016 Jan 01 12:00:00 AM","21:30","UW1600002","NOT STEP","547-03","1000","CUNNINGHAM BLK",,"COMMUNITY CARETAKING","ASIAN","MALE","22","N","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C28","Traffic Offenses","6673","EXPIRED REGISTRATION","TRAFFIC WARNING TICKET","2008","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1000 CUNNINGHAM BLK"
"2016 Jan 01 12:00:00 AM","21:34","UW1600004","NOT STEP","546-15","0","MAIN","VINE","TRAFFIC ISSUE","WHITE","FEMALE","41","N","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","6683","ILLEGAL SQUEALING/SCREECHING TIRES","TRAFFIC WARNING TICKET","2006","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 MAIN"
"2016 Jan 01 12:00:00 AM","22:08","UW1600005","NOT STEP","576-08","0","WASHINGTON","VINE","TRAFFIC ISSUE","WHITE","MALE","25","Y","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6605","TRAFFIC SIGN VIOLATION","TRAFFIC WARNING TICKET","2006","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 WASHINGTON"
"2016 Jan 01 12:00:00 AM","22:32","UW1600007","NOT STEP","576-08","0","PHILO","COLE","COMMUNITY CARETAKING","WHITE","FEMALE","46","N","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","6690","NO REAR REGISTRATION LIGHT","TRAFFIC WARNING TICKET","2004","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 PHILO"
"2017 Jan 01 12:00:00 AM","17:50","UU1700013","NOT STEP","577-03","0","MAIN ST","SMITH RD","TRAFFIC ISSUE","BLACK","MALE","32","Y","MOVING VIOLATION","OTHER","C28","Traffic Offenses","2482","DRIVING UNDER REVOKED LICENSE","CLEARED BY ADULT ARREST","2012","false","false","NO","NO","NO","NO","NO","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 MAIN ST"
"2017 Jan 01 12:00:00 AM","17:50","UU1700013","NOT STEP","577-03","0","MAIN ST","SMITH RD","TRAFFIC ISSUE","BLACK","MALE","32","Y","MOVING VIOLATION","OTHER","C41","Assist Other Agency/Business","9081","ASSIST TOW TRUCK","ADMINISTRATIVELY CLOSED","2012","false","false","NO","NO","NO","NO","NO","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 MAIN ST"
"2017 Jan 01 12:00:00 AM","22:25","UT1700009","NOT STEP","605-01","0","FLORIDA","RACE","TRAFFIC ISSUE","WHITE","FEMALE","27","Y","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6605","TRAFFIC SIGN VIOLATION","CLEARED BY ADULT ARREST","2004","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 FLORIDA"
"2017 Jan 01 12:00:00 AM","23:30","UT1700008","NOT STEP","576-05","1500","WASHINGTON W",,"COMMUNITY CARETAKING","BLACK","MALE","21","Y","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","6690","NO REAR REGISTRATION LIGHT","TRAFFIC WARNING TICKET","2008","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1500 WASHINGTON W"
"2017 Jan 01 12:00:00 AM","23:30","UT1700008","NOT STEP","576-05","1500","WASHINGTON W",,"COMMUNITY CARETAKING","BLACK","MALE","21","Y","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","2461","OPERATE UNINSURED MOTOR VEHICLE","CLEARED BY ADULT ARREST","2008","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","1500 WASHINGTON W"
"2019 Jan 01 12:00:00 AM","01:31","UW1900004","NOT STEP","546-02",,,,"TRAFFIC ISSUE","BLACK","MALE","27","N","MOVING VIOLATION","LANE VIOLATION","C28","Traffic Offenses","6608","IMPROPER LANE USAGE","TRAFFIC WARNING TICKET","2018","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false",
"2019 Jan 01 12:00:00 AM","01:40","UW1900005","NOT STEP","546-09",,,,"TRAFFIC ISSUE","WHITE","FEMALE","24","N","MOVING VIOLATION","LANE VIOLATION","C28","Traffic Offenses","6612","IMPROPER RIGHT TURN ON RED","TRAFFIC WARNING TICKET","2000","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false",
"2019 Jan 01 12:00:00 AM","03:59","UW1900003","NOT STEP","575-04",,,,"TRAFFIC ISSUE","BLACK","MALE","42","N","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C28","Traffic Offenses","2455","NO REGISTRATION","TRAFFIC WARNING TICKET","2007","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false",
"2019 Jan 01 12:00:00 AM","19:39","UW1900007","NOT STEP","546-15","0","UNIVERSITY","RACE","TRAFFIC ISSUE","BLACK","MALE","42","N","LICENSE PLATE/REG.","NOT A MOVING VIOLATION","C28","Traffic Offenses","6673","EXPIRED REGISTRATION","TRAFFIC WARNING TICKET","2007","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 UNIVERSITY"
"2019 Jan 01 12:00:00 AM","19:54","UW1900006","NOT STEP","578-04","0","WASHINGTON","HIGH CROSS","TRAFFIC ISSUE","WHITE","MALE","81","Y","MOVING VIOLATION","OTHER","C28","Traffic Offenses","6614","FAILURE TO SIGNAL","TRAFFIC WARNING TICKET","2001","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 WASHINGTON"
"2019 Jan 01 12:00:00 AM","20:31","UW1900010","NOT STEP","575-06","0","LINCOLN AVE","SPRINGFIELD AVE","TRAFFIC ISSUE","WHITE","FEMALE","18","Y","EQUIPMENT","NOT A MOVING VIOLATION","C28","Traffic Offenses","6630","DRIVING WITHOUT LIGHTS","TRAFFIC WARNING TICKET","2012","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 LINCOLN AVE"
"2019 Jan 01 12:00:00 AM","22:50","UT1900004","NOT STEP","606-04","0","MCHENRY","PHILO","TRAFFIC ISSUE","WHITE","MALE","17","Y","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6605","TRAFFIC SIGN VIOLATION","CLEARED BY ADULT ARREST","2017","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 MCHENRY"
"2019 Jan 01 12:00:00 AM","23:31","UW1900011","NOT STEP","576-03","0","COTTAGE GROVE S","GREEN","TRAFFIC ISSUE","BLACK","FEMALE","26","N","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6605","TRAFFIC SIGN VIOLATION","TRAFFIC WARNING TICKET","2002","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 COTTAGE GROVE S"
"2019 Jan 01 12:00:00 AM","23:59","UW1900008","NOT STEP","576-03","0","COTTAGE GREEN","GREEN","TRAFFIC ISSUE","WHITE","FEMALE","33","N","MOVING VIOLATION","TRAFFIC SIGN OR SIGNAL","C28","Traffic Offenses","6605","TRAFFIC SIGN VIOLATION","TRAFFIC WARNING TICKET","2015","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 COTTAGE GREEN"
"2013 Jan 02 12:00:00 AM","00:10","UW1300003","NOT STEP","546-02","0","LINCOLN","WASCHER",,"ASIAN","MALE","22","Y","MOVING VIOLATION","SPEED","C28","Traffic Offenses","6601","SPEEDING (RADAR)","TRAFFIC WARNING TICKET","2010","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 LINCOLN"
"2013 Jan 02 12:00:00 AM","00:24","UT1306579","NOT STEP","546-03","0","LINCOLN","SUNSET",,"ASIAN","FEMALE","20","N","MOVING VIOLATION","SPEED","C28","Traffic Offenses","2461","OPERATE UNINSURED MOTOR VEHICLE","CLEARED BY ADULT ARREST","2011","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 LINCOLN"
"2013 Jan 02 12:00:00 AM","00:24","UT1306579","NOT STEP","546-03","0","LINCOLN","SUNSET",,"ASIAN","FEMALE","20","N","MOVING VIOLATION","SPEED","C28","Traffic Offenses","6601","SPEEDING (RADAR)","CLEARED BY ADULT ARREST","2011","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 LINCOLN"
"2013 Jan 02 12:00:00 AM","00:24","UT1306579","NOT STEP","546-03","0","LINCOLN","SUNSET",,"ASIAN","FEMALE","20","N","MOVING VIOLATION","SPEED","C28","Traffic Offenses","6630","DRIVING WITHOUT LIGHTS","TRAFFIC WARNING TICKET","2011","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 LINCOLN"
"2013 Jan 02 12:00:00 AM","19:27","UT1300020","NOT STEP","546-11","0","CHURCH","PARK",,"BLACK","FEMALE","48","N","MOVING VIOLATION","OTHER","C28","Traffic Offenses","2461","OPERATE UNINSURED MOTOR VEHICLE","CLEARED BY ADULT ARREST","1991","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","false","false","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE",,"true","false","0 CHURCH"
